Geography,Geographic Area Name,total,noncitizen,citizen
5001800US2609,"Congressional District 9 (118th Congress), Michigan",769261,9864,759397
5001800US2610,"Congressional District 10 (118th Congress), Michigan",769945,31677,738268
5001800US2611,"Congressional District 11 (118th Congress), Michigan",769154,50548,718606
5001800US2612,"Congressional District 12 (118th Congress), Michigan",740559,24729,715830
5001800US2613,"Congressional District 13 (118th Congress), Michigan",773276,35514,737762
5001800US2701,"Congressional District 1 (118th Congress), Minnesota",713000,22777,690223
5001800US2702,"Congressional District 2 (118th Congress), Minnesota",733289,29988,703301
5001800US2703,"Congressional District 3 (118th Congress), Minnesota",699786,40360,659426
5001800US2704,"Congressional District 4 (118th Congress), Minnesota",699739,30908,668831
5001800US2705,"Congressional District 5 (118th Congress), Minnesota",702050,42315,659735
5001800US2706,"Congressional District 6 (118th Congress), Minnesota",747036,18176,728860
5001800US2707,"Congressional District 7 (118th Congress), Minnesota",715239,16993,698246
5001800US2708,"Congressional District 8 (118th Congress), Minnesota",727776,6921,720855
5001800US2801,"Congressional District 1 (118th Congress), Mississippi",745641,10979,734662
5001800US2802,"Congressional District 2 (118th Congress), Mississippi",701580,8169,693411
5001800US2803,"Congressional District 3 (118th Congress), Mississippi",740675,12784,727891
5001800US2804,"Congressional District 4 (118th Congress), Mississippi",751794,16434,735360
5001800US2901,"Congressional District 1 (118th Congress), Missouri",741792,33689,708103
5001800US2902,"Congressional District 2 (118th Congress), Missouri",764420,24085,740335
5001800US2903,"Congressional District 3 (118th Congress), Missouri",781181,17050,764131
5001800US2904,"Congressional District 4 (118th Congress), Missouri",788949,14924,774025
5001800US2905,"Congressional District 5 (118th Congress), Missouri",760843,28020,732823
5001800US2906,"Congressional District 6 (118th Congress), Missouri",785446,6605,778841
5001800US2907,"Congressional District 7 (118th Congress), Missouri",790923,15278,775645
5001800US2908,"Congressional District 8 (118th Congress), Missouri",782602,6488,776114
5001800US3001,"Congressional District 1 (118th Congress), Montana",576553,5543,571010
5001800US3002,"Congressional District 2 (118th Congress), Montana",556259,4482,551777
5001800US3101,"Congressional District 1 (118th Congress), Nebraska",659725,26354,633371
5001800US3102,"Congressional District 2 (118th Congress), Nebraska",664285,39908,624377
5001800US3103,"Congressional District 3 (118th Congress), Nebraska",654369,22394,631975
5001800US3201,"Congressional District 1 (118th Congress), Nevada",788277,99391,688886
5001800US3202,"Congressional District 2 (118th Congress), Nevada",793631,47336,746295
5001800US3203,"Congressional District 3 (118th Congress), Nevada",796395,68357,728038
